SYMBOL,YAHOOSYMBOL
20MICRONS,20MICRONS.NS
21STCENMGM,21STCENMGM.NS
3IINFOTECH,3IINFOTECH.NS
3MINDIA,3MINDIA.NS
3PLAND,3PLAND.NS
5PAISA,5PAISA.NS
63MOONS,63MOONS.NS
645GS2029,645GS2029.NS
68GS2060,68GS2060.NS
716GS2050,716GS2050.NS
719GS2060,719GS2060.NS
75GS2034,75GS2034.NS
772GS2049,772GS2049.NS
795GS2032,795GS2032.NS
A2ZINFRA,A2ZINFRA.NS
AAATECH,AAATECH.NS
AAKASH,AAKASH.NS
AARON,AARON.NS
AARTIDRUGS,AARTIDRUGS.NS
AARTIIND,AARTIIND.NS
AARTISURF,AARTISURF.NS
AARVEEDEN,AARVEEDEN.NS
AARVI,AARVI.NS
AAVAS,AAVAS.NS
ABAN,ABAN.NS
ABB,ABB.NS
ABBOTINDIA,ABBOTINDIA.NS
ABCAPITAL,ABCAPITAL.NS
ABFRL,ABFRL.NS
ABFRLPP1,ABFRLPP1.NS
ABMINTLTD,ABMINTLTD.NS
ABSLBANETF,ABSLBANETF.NS
ABSLNN50ET,ABSLNN50ET.NS
ABSLRIF6RG,ABSLRIF6RG.NS
ACC,ACC.NS
ACCELYA,ACCELYA.NS
ACCURACY,ACCURACY.NS
ACE,ACE.NS
ACRYSIL,ACRYSIL.NS
ADANIENT,ADANIENT.NS
ADANIGREEN,ADANIGREEN.NS
ADANIPORTS,ADANIPORTS.NS
ADANIPOWER,ADANIPOWER.NS
ADANITRANS,ADANITRANS.NS
ADFFOODS,ADFFOODS.NS
ADHUNIKIND,ADHUNIKIND.NS
ADL,ADL.NS
ADORWELD,ADORWELD.NS
ADROITINFO,ADROITINFO.NS
ADSL,ADSL.NS
ADVANIHOTR,ADVANIHOTR.NS
ADVENZYMES,ADVENZYMES.NS
AEGISCHEM,AEGISCHEM.NS
AFFLE,AFFLE.NS
AGARIND,AGARIND.NS
AGCNET,AGCNET.NS
AGRITECH,AGRITECH.NS
AGROPHOS,AGROPHOS.NS
AHLADA,AHLADA.NS
AHLEAST,AHLEAST.NS
AHLUCONT,AHLUCONT.NS
AHLWEST,AHLWEST.NS
AIAENG,AIAENG.NS
AIRAN,AIRAN.NS
AIROLAM,AIROLAM.NS
AISL,AISL.NS
AJANTPHARM,AJANTPHARM.NS
AJMERA,AJMERA.NS
AJOONI,AJOONI.NS
AKASH,AKASH.NS
AKG,AKG.NS
AKSHARCHEM,AKSHARCHEM.NS
AKSHOPTFBR,AKSHOPTFBR.NS
AKZOINDIA,AKZOINDIA.NS
ALANKIT,ALANKIT.NS
ALBERTDAVD,ALBERTDAVD.NS
ALCHEM,ALCHEM.NS
ALEMBICLTD,ALEMBICLTD.NS
ALICON,ALICON.NS
ALKALI,ALKALI.NS
ALKEM,ALKEM.NS
ALKYLAMINE,ALKYLAMINE.NS
ALLCARGO,ALLCARGO.NS
ALLSEC,ALLSEC.NS
ALMONDZ,ALMONDZ.NS
ALOKINDS,ALOKINDS.NS
ALPA,ALPA.NS
ALPHAGEO,ALPHAGEO.NS
ALPSINDUS,ALPSINDUS.NS
AMARAJABAT,AMARAJABAT.NS
AMBANIORG,AMBANIORG.NS
AMBER,AMBER.NS
AMBICAAGAR,AMBICAAGAR.NS
AMBIKCO,AMBIKCO.NS
AMBUJACEM,AMBUJACEM.NS
AMDIND,AMDIND.NS
AMJLAND,AMJLAND.NS
AMRUTANJAN,AMRUTANJAN.NS
ANANTRAJ,ANANTRAJ.NS
ANDHRACEMT,ANDHRACEMT.NS
ANDHRAPAP,ANDHRAPAP.NS
ANDHRSUGAR,ANDHRSUGAR.NS
ANGELBRKG,ANGELBRKG.NS
ANIKINDS,ANIKINDS.NS
ANKITMETAL,ANKITMETAL.NS
ANSALAPI,ANSALAPI.NS
ANSALHSG,ANSALHSG.NS
ANTGRAPHIC,ANTGRAPHIC.NS
ANUP,ANUP.NS
ANURAS,ANURAS.NS
APARINDS,APARINDS.NS
APCL,APCL.NS
APCOTEXIND,APCOTEXIND.NS
APEX,APEX.NS
APLAPOLLO,APLAPOLLO.NS
APLLTD,APLLTD.NS
APOLLO,APOLLO.NS
APOLLOHOSP,APOLLOHOSP.NS
APOLLOPIPE,APOLLOPIPE.NS
APOLLOTYRE,APOLLOTYRE.NS
APOLSINHOT,APOLSINHOT.NS
APTECHT,APTECHT.NS
ARCHIDPLY,ARCHIDPLY.NS
ARCHIES,ARCHIES.NS
ARCOTECH,ARCOTECH.NS
ARENTERP,ARENTERP.NS
ARIES,ARIES.NS
ARIHANT,ARIHANT.NS
ARIHANTSUP,ARIHANTSUP.NS
ARMANFIN,ARMANFIN.NS
AROGRANITE,AROGRANITE.NS
ARROWGREEN,ARROWGREEN.NS
ARSHIYA,ARSHIYA.NS
ARSSINFRA,ARSSINFRA.NS
ARTEMISMED,ARTEMISMED.NS
ARVEE,ARVEE.NS
ARVIND,ARVIND.NS
ARVINDFASN,ARVINDFASN.NS
ARVSMART,ARVSMART.NS
ASAHIINDIA,ASAHIINDIA.NS
ASAHISONG,ASAHISONG.NS
ASAL,ASAL.NS
ASALCBR,ASALCBR.NS
ASHAPURMIN,ASHAPURMIN.NS
ASHIANA,ASHIANA.NS
ASHIMASYN,ASHIMASYN.NS
ASHOKA,ASHOKA.NS
ASHOKLEY,ASHOKLEY.NS
ASIANHOTNR,ASIANHOTNR.NS
ASIANPAINT,ASIANPAINT.NS
ASIANTILES,ASIANTILES.NS
ASPINWALL,ASPINWALL.NS
ASTEC,ASTEC.NS
ASTERDM,ASTERDM.NS
ASTRAL,ASTRAL.NS
ASTRAMICRO,ASTRAMICRO.NS
ASTRAZEN,ASTRAZEN.NS
ASTRON,ASTRON.NS
ATFL,ATFL.NS
ATGL,ATGL.NS
ATLANTA,ATLANTA.NS
ATLASCYCLE,ATLASCYCLE.NS
ATUL,ATUL.NS
ATULAUTO,ATULAUTO.NS
AUBANK,AUBANK.NS
AURIONPRO,AURIONPRO.NS
AUROPHARMA,AUROPHARMA.NS
AUSOMENT,AUSOMENT.NS
AUTOAXLES,AUTOAXLES.NS
AUTOIND,AUTOIND.NS
AUTOLITIND,AUTOLITIND.NS
AVADHSUGAR,AVADHSUGAR.NS
AVANTIFEED,AVANTIFEED.NS
AVROIND,AVROIND.NS
AVSL,AVSL.NS
AVTNPL,AVTNPL.NS
AWHCL,AWHCL.NS
AXISBANK,AXISBANK.NS
AXISBNKETF,AXISBNKETF.NS
AXISCADES,AXISCADES.NS
AXISGOLD,AXISGOLD.NS
AXISNIFTY,AXISNIFTY.NS
AXISTECETF,AXISTECETF.NS
AYMSYNTEX,AYMSYNTEX.NS
BAFNAPH,BAFNAPH.NS
BAGFILMS,BAGFILMS.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
BAJAJCON,BAJAJCON.NS
BAJAJELEC,BAJAJELEC.NS
BAJAJFINSV,BAJAJFINSV.NS
BAJAJHIND,BAJAJHIND.NS
BAJAJHLDNG,BAJAJHLDNG.NS
BAJFINANCE,BAJFINANCE.NS
BALAJITELE,BALAJITELE.NS
BALAMINES,BALAMINES.NS
BALAXI,BALAXI.NS
BALKRISHNA,BALKRISHNA.NS
BALKRISIND,BALKRISIND.NS
BALLARPUR,BALLARPUR.NS
BALMLAWRIE,BALMLAWRIE.NS
BALPHARMA,BALPHARMA.NS
BALRAMCHIN,BALRAMCHIN.NS
BANARBEADS,BANARBEADS.NS
BANARISUG,BANARISUG.NS
BANCOINDIA,BANCOINDIA.NS
BANDHANBNK,BANDHANBNK.NS
BANG,BANG.NS
BANKA,BANKA.NS
BANKBARODA,BANKBARODA.NS
BANKBEES,BANKBEES.NS
BANKINDIA,BANKINDIA.NS
BANSWRAS,BANSWRAS.NS
BARBEQUE,BARBEQUE.NS
BARTRONICS,BARTRONICS.NS
BASF,BASF.NS
BASML,BASML.NS
BATAINDIA,BATAINDIA.NS
BAYERCROP,BAYERCROP.NS
BBL,BBL.NS
BBTC,BBTC.NS
BCG,BCG.NS
BCLIND,BCLIND.NS
BCP,BCP.NS
BDL,BDL.NS
BEARDSELL,BEARDSELL.NS
BECTORFOOD,BECTORFOOD.NS
BEDMUTHA,BEDMUTHA.NS
BEL,BEL.NS
BEML,BEML.NS
BEPL,BEPL.NS
BERGEPAINT,BERGEPAINT.NS
BESTAGRO,BESTAGRO.NS
BETA,BETA.NS
BFINVEST,BFINVEST.NS
BFUTILITIE,BFUTILITIE.NS
